hsa_id,fac_type,governorate,fac_type_score,urban_bonus,infra_quality,mean_weekly_cases,low_count_flag,note_infra,jmp_san_pct,jmp_wat_pct,infra_quality_label
Jadaa_Primary_Center,Primary Center,Karak,1,0.0,0.65306,0.35,True,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),65.306,82.32580000000002,65.3% safely managed sanitation
Prince_Hashem_Primary_Center,Primary Center,Ajloun,1,0.0,0.6098300000000001,0.73,True,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),60.983000000000004,81.4219,61.0% safely managed sanitation
Mabroukeh_Primary_Center,Primary Center,Mafraq,1,0.5,0.63623,1.82,True,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),63.623,81.97389999999999,63.6% safely managed sanitation
Bsaira_Comprehensive_Center,Comprehensive Center,Tafila,2,0.0,0.65141,40.14,False,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),65.141,82.2913,65.1% safely managed sanitation
North_Madaba_Comprehensive_Center,Comprehensive Center,Madaba,2,0.0,0.6860599999999999,2.46,False,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),68.606,83.01580000000001,68.6% safely managed sanitation
Khazzan_Primary_Center,Primary Center,Aqaba,1,1.0,0.75536,0.2,True,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),75.536,84.46480000000001,75.5% safely managed sanitation
Al-Karak_Hospital,Hospital,Karak,3,0.0,0.65306,27.23,False,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),65.306,82.32580000000002,65.3% safely managed sanitation
Jarash_Hospital,Hospital,Jarash,3,0.0,0.63458,25.71,False,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),63.458000000000006,81.9394,63.5% safely managed sanitation
Aqaba_Comprehensive_Center,Comprehensive Center,Aqaba,2,1.0,0.75536,5.92,False,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),75.536,84.46480000000001,75.5% safely managed sanitation
AL-Ramtha_Hospital,Hospital,Irbid,3,0.5,0.73259,30.6,False,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),73.259,83.9887,73.3% safely managed sanitation
Al_Hussain_New_Salt_Hospital,Hospital,Balqa,3,0.5,0.69662,47.56,False,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),69.662,83.23660000000001,69.7% safely managed sanitation
AL-Shuneh_Hospital,Hospital,Balqa,3,0.5,0.69662,29.85,False,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),69.662,83.23660000000001,69.7% safely managed sanitation
Princess_Raya_Hospital,Hospital,Irbid,3,0.5,0.73259,59.31,False,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),73.259,83.9887,73.3% safely managed sanitation
Al-Basheer_Hospital,Hospital,Amman,3,1.0,0.8190500000000001,185.44,False,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.905,85.79650000000001,81.9% safely managed sanitation
AL-Zarqa_Hospital,Hospital,Zarqa,3,1.0,0.81674,56.99,False,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.674,85.7482,81.7% safely managed sanitation
Dr._Jamel_Al-Totanji_Hospital,Hospital,Amman,3,1.0,0.8190500000000001,30.54,False,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.905,85.79650000000001,81.9% safely managed sanitation
Al-Mafraq_Gynecology_and_Pediatrics_Hospital,Specialized Medical Center,Mafraq,4,0.5,0.63623,21.57,False,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),63.623,81.97389999999999,63.6% safely managed sanitation
